																		S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
	date	dataset	dataset	dataset		dataset	date	date						percentage	percentage	percentage	percentage	dataset	currency	currency	percentage	currency	currency	percentage	currency	number	currency	currency	dataset	currency	currency	percentage	currency	currency	percentage	currency	number	currency	currency		currency	number	percentage	currency	currency		currency	number	percentage	currency	currency	dataset	currency	number	currency		currency	percentage	number	currency	currency			date	date	percentage	currency			number	percentage	currency
	fullDate	Usuarios|colleagueId|solicitante|solicitanteNome=colleagueName	Clientes|codigo|cliente|clienteNome=razaoSocial	Executivos|codigo|executivo|executivoNome=nome		TiposAcao|tipoAcaoCodigo|tipoAcao|tipoAcaoDescricao=displaykey	fullDate	fullDate						2	2	2	2	Itens|codigo|itemSellout_item|itemSellout_itemDescricao=descricao,itemSellout_categoria=categoria,itemSellout_ccusto=ccusto	R$	R$	2	R$	R$	2	R$	2	R$	R$	Itens|codigo|itemSellinIt_item|itemSellinIt_itemDescricao=descricao,itemSellinIt_categoria=categoria,itemSellinIt_ccusto=ccusto	R$	R$	2	R$	R$	2	R$	2	R$	R$		R$	2	2	R$	R$		R$	2	2	R$	R$	Itens|codigo|itemSpiffIt_item|itemSpiffIt_itemDescricao=descricao,itemSpiffIt_categoria=categoria,itemSpiffIt_ccusto=ccusto	R$	2	R$		R$	2	2	R$	R$			fullDate	fullDate	2	R$			2	2	R$
numControle	dataAbertura	solicitanteCodigo	clienteCodigo	executivoCodigo	nomeAcao	tipoAcaoCodigo	inicioAcao	terminoAcao	tipoQuantidade	tipoSellin	tipoSpiff	tipoVpc	descricaoDetalhada	rateio_perc___1	rateio_perc___2	rateio_perc___3	rateio_perc___4	itemSellout_itemCodigo	itemSellout_srpInicial	itemSellout_netInicial	itemSellout_gpInicial	itemSellout_srpSugerido	itemSellout_netSugerido	itemSellout_gpSugerido	itemSellout_rebateUnit	itemSellout_qtde	itemSellout_rebateTotal	itemSellout_dolar	itemSellinIt_itemCodigo	itemSellinIt_srpInicial	itemSellinIt_netInicial	itemSellinIt_gpInicial	itemSellinIt_srpSugerido	itemSellinIt_netSugerido	itemSellinIt_gpSugerido	itemSellinIt_rebateUnit	itemSellinIt_qtde	itemSellinIt_rebateTotal	itemSellinIt_dolar	itemSellinTg_descricao	itemSellinTg_target	itemSellinTg_qtde	itemSellinTg_perc	itemSellinTg_vlTarget	itemSellinTg_vlTotal	itemSellinTgAc_descricao	itemSellinTgAc_target	itemSellinTgAc_qtde	itemSellinTgAc_perc	itemSellinTgAc_vlTarget	itemSellinTgAc_vlTotal	itemSpiffIt_itemCodigo	itemSpiffIt_spiffUnit	itemSpiffIt_qtde	itemSpiffIt_vlTotal	itemSpiffTg_foco	itemSpiffTg_target	itemSpiffTg_perc	itemSpiffTg_qtde	itemSpiffTg_vlUnit	itemSpiffTg_vlTotal	itemVpcEvt_nomeEvento	itemVpcEvt_finalidade	itemVpcEvt_inicio	itemVpcEvt_termino	itemVpcEvt_perc	itemVpcEvt_vlTotal	itemVpcOutros_tipo	itemVpcOutros_finalidade	itemVpcOutros_qtde	itemVpcOutros_perc	itemVpcOutros_vlTotal
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					DCPB7520DW							154.53	30	4635.9	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					DCPT710W							59.13	15	886.95	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					HLT4000DW							225.15	30	6754.5	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					MFCJ6545DW							179.59	15	2693.85	5.2																																												
2020.608	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20			0.21	0.79	CM300BR							57.71	120	6925.2	5.2																																												
2020.608	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					SDX125							173.14	70	12119.8	5.2																																												
2020.608	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					SDX225							196.22	40	7848.8	5.2																																												
2020.608	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					PT80							8.55	500	41275.00	5.2																																												
2020.608	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					QL800							41.7	70	2919.00	5.2																																												
2020.611	03/04/2020	rugeda	192	8	PT 80 - AJUSTE DE PREÇOS - 199,00	sellout	04/04/2020	30/04/2020	estimada				REBATE SELL-OUT - PT80 - AJUSTE DE PREÇOS 			1		PT80							8.55	400	3420.00	5.2																																												
2020.612	03/04/2020	rugeda	5211	9	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699				1	SDX125							183.47	5	917.35	5.2																																												
2020.612	03/04/2020	rugeda	5211	9	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699					SDX225							183.47	5	917.35	5.2																																												
2020.613	03/04/2020	rugeda	429	7	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699					SDX125							183.47	10	1834.7	5.2																																												
2020.614	03/04/2020	rugeda	364	5	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699				1	SDX125							156.22	5	781.1	5.2																																												
2020.614	03/04/2020	rugeda	364	5	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699					SDX225							165.36	5	826.8	5.2																																												
2020.615	03/04/2020	rugeda	420	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699				1	SDX125							156.22	10	1562.2	5.2																																												
2020.615	03/04/2020	rugeda	420	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699					SDX225							164.36	10	1643.6	5.2																																												
2020.619	03/04/2020	rugeda	181	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699/BM 839	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699/BM 839				1	SDX125							156.22	5	781.1	5.2																																												
2020.619	03/04/2020	rugeda	181	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699/BM 839	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699/BM 839					SDX225							164.36	5	821.8	5.2																																												
2020.619	03/04/2020	rugeda	181	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699/BM 839	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699/BM 839					BM2800							44.01	15	660.15	5.2																																												
2020.622	03/04/2020	rugeda	18	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699				1	SDX125							276.86	5	1384.3	5.2																																												
2020.622	03/04/2020	rugeda	18	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699					SDX225							295.02	10	2950.2	5.2																																												
2020.623	03/04/2020	rugeda	4710	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699				1	SDX125							276.86	5	1384.3	5.2																																												
2020.623	03/04/2020	rugeda	4710	4	REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699	sellout	06/04/2020	30/04/2020	estimada				REBATE SELL-OUT REDUÇÃO DE STREET - SDX125 - 2199 / SDX225 -2699					SDX225							295.02	5	1475.1	5.2																																												
2020.625	07/04/2020	rugeda	364	5	REBATE SELL-OUT - DCPT510 - REDUÇÃO STREET 1599 PARA 1199	sellout	07/04/2020	30/04/2020	limitada				REBATE - QTDE. LIMITADA - VL. MINIMO VENDA CONS. FINAL 1199,00(A PRAZO) OU 1079,00 (A VISTA)-VALORES MENORES NÃO SERÃO PAGOS 	1				DCPT510W							165.89	5	829.45	5.2																																												
2020.626	07/04/2020	rugeda	420	4	REBATE - BM2800 - REDUÇÃO DE STREET PARA 839	sellout	09/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT REDUÇÃO DE STRETT DE 939 PARA 839				1	BM2800							44.01	10	440.1	5.2																																												
2020.631	04/05/2020	rugeda	4401	6	REBATE SELL-OUT DCPT510 - REDUÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE REDUÇÃO DE STREET DE 1599 PARA 1199 - NÃO SERÃO ACEIAS VENDAS PARA 2TIERS/E-COMMERCE/MKT PLACE. VL. MINIDO A PRAZO 1199/A VISTA 1079 (PARA CONSUDMIDOR FINAL) VALORES MENORES NÃO SERÃO PAGOS	1				DCPT510W							165.89	42	6967.38	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20	0.86	0.07	0.07		ADS2200							58.15	11	639.65	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					ADS2800W							236.58	20	4731.6	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					ADS1250W							46.76	10	467.6	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					ADS1700W							83.49	10	834.9	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					HL1212W							62.55	300	18765.00	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					DCP1617NW							108.59	130	14116.7	5.2																																												
