No. Controle;Total da Verba;Solicitação;Status;Erros
2.020.327;R$ 829,45;3640;Solicitação criada com sucesso;
2.020.329;R$ 6.831,68;3641;Solicitação criada com sucesso;
2.020.330;R$ 5.202,48;3642;Solicitação criada com sucesso;
2.020.332;R$ 1.950,93;3643;Solicitação criada com sucesso;
2.020.333;R$ 426,98;3644;Solicitação criada com sucesso;
2.020.337;R$ 981,44;3645;Solicitação criada com sucesso;
2.020.338;R$ 981,44;3646;Solicitação criada com sucesso;
2.020.368;R$ 176,60;3647;Solicitação criada com sucesso;
2.020.372;R$ 529,80;3648;Solicitação criada com sucesso;
2.020.373;R$ 529,80;3649;Solicitação criada com sucesso;
2.020.374;R$ 529,80;3650;Solicitação criada com sucesso;
2.020.385;R$ 1.121,76;3651;Solicitação criada com sucesso;
2.020.397;R$ 1.834,70;3652;Solicitação criada com sucesso;
2.020.408;R$ 17.071,00;3653;Solicitação criada com sucesso;
2.020.409;R$ 447,90;3654;Solicitação criada com sucesso;
2.020.414;R$ 9.291,25;3655;Solicitação criada com sucesso;
2.020.418;R$ 13.634,30;3656;Solicitação criada com sucesso;
2.020.424;R$ 23.722,20;3657;Solicitação criada com sucesso;
2.020.427;R$ 12.994,30;3658;Solicitação criada com sucesso;
2.020.431;R$ 16.405,07;3659;Solicitação criada com sucesso;
2.020.433;R$ 9.567,88;3660;Solicitação criada com sucesso;
2.020.435;R$ 16.181,70;3661;Solicitação criada com sucesso;
2.020.436;R$ 27.422,38;3662;Solicitação criada com sucesso;
2.020.440;R$ 49.140,00;3663;Solicitação criada com sucesso;
2.020.443;R$ 7.431,00;3664;Solicitação criada com sucesso;
2.020.468;R$ 464,10;3665;Solicitação criada com sucesso;
2.020.470;R$ 3.726,00;3666;Solicitação criada com sucesso;
2.020.473;R$ 7.633,75;3667;Solicitação criada com sucesso;
2.020.476;R$ 20.776,40;3668;Solicitação criada com sucesso;
2.020.477;R$ 10.582,50;3669;Solicitação criada com sucesso;
2.020.478;R$ 16.354,00;3670;Solicitação criada com sucesso;
2.020.479;R$ 201.675,34;3671;Solicitação criada com sucesso;
2.020.485;R$ 5.501,85;3672;Solicitação criada com sucesso;
2.020.487;R$ 1.834,70;3673;Solicitação criada com sucesso;
2.020.489;R$ 4.808,70;3674;Solicitação criada com sucesso;
2.020.495;R$ 3.205,80;3675;Solicitação criada com sucesso;
2.020.499;R$ 1.833,95;3676;Solicitação criada com sucesso;
2.020.501;R$ 1.602,90;3677;Solicitação criada com sucesso;
2.020.505;R$ 10.368,00;3678;Solicitação criada com sucesso;
2.020.506;R$ 2.073,60;3681;Solicitação criada com sucesso;
2.020.507;R$ 11.046,00;3680;Solicitação criada com sucesso;
2.020.509;R$ 6.632,55;3679;Solicitação criada com sucesso;
2.020.511;R$ 2.465,31;3682;Solicitação criada com sucesso;
2.020.513;R$ 1.027,86;3683;Solicitação criada com sucesso;
2.020.519;R$ 1.774,11;3684;Solicitação criada com sucesso;
2.020.522;R$ 788,97;3685;Solicitação criada com sucesso;
2.020.523;R$ 7.103,40;3686;Solicitação criada com sucesso;
2.020.525;R$ 1.866,54;3687;Solicitação criada com sucesso;
2.020.526;R$ 2.403,44;3688;Solicitação criada com sucesso;
2.020.528;R$ 270,21;3689;Solicitação criada com sucesso;
2.020.529;R$ 207,36;3690;Solicitação criada com sucesso;
2.020.532;R$ 207,36;3692;Solicitação criada com sucesso;
2.020.534;R$ 2.280,85;3691;Solicitação criada com sucesso;
2.020.537;R$ 110,65;3693;Solicitação criada com sucesso;
2.020.538;R$ 885,20;3694;Solicitação criada com sucesso;
2.020.540;R$ 1.438,45;3695;Solicitação criada com sucesso;
2.020.541;R$ 12.390,00;3696;Solicitação criada com sucesso;
2.020.551;R$ 1.986,90;3698;Solicitação criada com sucesso;
2.020.553;R$ 1.986,90;3697;Solicitação criada com sucesso;
2.020.554;R$ 4.636,10;3699;Solicitação criada com sucesso;
2.020.555;R$ 2.042,10;3700;Solicitação criada com sucesso;
2.020.556;R$ 1.335,60;3701;Solicitação criada com sucesso;
2.020.581;R$ 1.594,04;3702;Solicitação criada com sucesso;
2.020.587;R$ 68.893,02;3703;Solicitação criada com sucesso;
2.020.594;R$ 5.463,50;3704;Solicitação criada com sucesso;
2.020.599;R$ 11.168,80;3705;Solicitação criada com sucesso;
2.020.601;R$ 30.030,00;3706;Solicitação criada com sucesso;
2.020.603;R$ 31.920,00;3707;Solicitação criada com sucesso;
2.020.604;R$ 12.600,00;3708;Solicitação criada com sucesso;
2.020.606;R$ 157.710,00;3709;Solicitação criada com sucesso;
2.020.607;R$ 118.656,35;3710;Solicitação criada com sucesso;
2.020.608;R$ 34.087,80;3711;Solicitação criada com sucesso;
2.020.611;R$ 3.420,00;3712;Solicitação criada com sucesso;
2.020.612;R$ 1.834,70;3713;Solicitação criada com sucesso;
2.020.613;R$ 1.834,70;3714;Solicitação criada com sucesso;
2.020.614;R$ 1.607,90;3715;Solicitação criada com sucesso;
2.020.615;R$ 3.205,80;3717;Solicitação criada com sucesso;
2.020.616;R$ 3.246,50;3716;Solicitação criada com sucesso;
2.020.618;R$ 733,88;3718;Solicitação criada com sucesso;
2.020.619;R$ 2.263,05;3719;Solicitação criada com sucesso;
2.020.620;R$ 1.342,95;3720;Solicitação criada com sucesso;
2.020.621;R$ 2.445,55;3721;Solicitação criada com sucesso;
2.020.622;R$ 4.334,50;3722;Solicitação criada com sucesso;
2.020.623;R$ 2.859,40;3723;Solicitação criada com sucesso;
2.020.624;R$ 7.133,27;3724;Solicitação criada com sucesso;
2.020.625;R$ 829,45;3725;Solicitação criada com sucesso;
2.020.626;R$ 440,10;3726;Solicitação criada com sucesso;
2.020.627;R$ 440,10;3727;Solicitação criada com sucesso;
2.020.628;R$ 440,10;3728;Solicitação criada com sucesso;
2.020.629;R$ 611,59;3729;Solicitação criada com sucesso;
2.020.630;R$ 5.210,59;3730;Solicitação criada com sucesso;
MKT631_2019;R$ 8.800,00;3731;Solicitação criada com sucesso;
MKT632_2019;R$ 140.000,00;3732;Solicitação criada com sucesso;
MKT633_2019;R$ 90.000,00;3733;Solicitação criada com sucesso;
MKT634_2019;R$ 80.000,00;3734;Solicitação criada com sucesso;
MKT638_2019;R$ 3.800,00;3735;Solicitação criada com sucesso;
MKT801_2019;R$ 3.100,00;3736;Solicitação criada com sucesso;
MKT816_2019;R$ 4.800,00;3737;Solicitação criada com sucesso;
MKT817_2019;R$ 2.400,00;3738;Solicitação criada com sucesso;
MKT818_2019;R$ 7.200,00;3739;Solicitação criada com sucesso;
MKT819_2019;R$ 7.200,00;3740;Solicitação criada com sucesso;
MKT820_2019;R$ 7.200,00;3741;Solicitação criada com sucesso;
MKT821_2019;R$ 7.200,00;3742;Solicitação criada com sucesso;
MKT822_2019;R$ 7.200,00;3743;Solicitação criada com sucesso;
MKT823_2019;R$ 7.200,00;3744;Solicitação criada com sucesso;
MKT824_2019;R$ 7.200,00;3745;Solicitação criada com sucesso;
MKT825_2019;R$ 7.200,00;3746;Solicitação criada com sucesso;
MKT826_2019;R$ 7.200,00;3747;Solicitação criada com sucesso;
MKT827_2019;R$ 7.200,00;3748;Solicitação criada com sucesso;
MKT828_2019;R$ 7.200,00;3749;Solicitação criada com sucesso;
MKT829_2019;R$ 7.200,00;3750;Solicitação criada com sucesso;
MKT830_2019;R$ 7.200,00;3751;Solicitação criada com sucesso;
MKT831_2019;R$ 7.200,00;3752;Solicitação criada com sucesso;
MKT832_2019;R$ 7.200,00;3753;Solicitação criada com sucesso;
MKT833_2019;R$ 7.200,00;3754;Solicitação criada com sucesso;
MKT834_2019;R$ 7.200,00;3755;Solicitação criada com sucesso;
MKT835_2019;R$ 7.200,00;3756;Solicitação criada com sucesso;
MKT836_2019;R$ 7.200,00;3757;Solicitação criada com sucesso;
2020.23;R$ 7.200,00;3758;Solicitação criada com sucesso;
2.020.103;R$ 200,00;3759;Solicitação criada com sucesso;
2.020.105;R$ 200,00;3760;Solicitação criada com sucesso;
2.020.106;R$ 200,00;3761;Solicitação criada com sucesso;
2.020.108;R$ 200,00;3762;Solicitação criada com sucesso;
2.020.109;R$ 200,00;3763;Solicitação criada com sucesso;
2.020.110;R$ 200,00;3764;Solicitação criada com sucesso;
2.020.114;R$ 200,00;3765;Solicitação criada com sucesso;
2.020.120;R$ 200,00;3766;Solicitação criada com sucesso;
2.020.122;R$ 200,00;3767;Solicitação criada com sucesso;
2.020.123;R$ 200,00;3768;Solicitação criada com sucesso;
2.020.125;R$ 200,00;3769;Solicitação criada com sucesso;
2.020.126;R$ 200,00;3770;Solicitação criada com sucesso;
2.020.128;R$ 200,00;3771;Solicitação criada com sucesso;
2.020.129;R$ 200,00;3772;Solicitação criada com sucesso;
2.020.132;R$ 200,00;3773;Solicitação criada com sucesso;
2.020.133;R$ 200,00;3774;Solicitação criada com sucesso;
2.020.134;R$ 200,00;3776;Solicitação criada com sucesso;
2.020.136;R$ 200,00;3775;Solicitação criada com sucesso;
2.020.138;R$ 200,00;3777;Solicitação criada com sucesso;
2.020.139;R$ 200,00;3778;Solicitação criada com sucesso;
2.020.141;R$ 200,00;3779;Solicitação criada com sucesso;
2.020.142;R$ 200,00;3780;Solicitação criada com sucesso;
2.020.144;R$ 200,00;3781;Solicitação criada com sucesso;
2.020.145;R$ 200,00;3782;Solicitação criada com sucesso;
2.020.175;R$ 200,00;3783;Solicitação criada com sucesso;
2.020.176;R$ 200,00;3784;Solicitação criada com sucesso;
2.020.185;R$ 6.000,00;3785;Solicitação criada com sucesso;
2.020.186;R$ 6.000,00;3786;Solicitação criada com sucesso;
2.020.481;R$ 5.000,00;3787;Solicitação criada com sucesso;
2.020.503;R$ 5.250,00;3788;Solicitação criada com sucesso;
MKT691_2019;R$ 10.000,00;3789;Solicitação criada com sucesso;
MKT806_2019;R$ 8.000,00;3790;Solicitação criada com sucesso;
2.020.366;R$ 2.350,00;3791;Solicitação criada com sucesso;
2.020.376;R$ 3.510,00;3792;Solicitação criada com sucesso;
