Dados da Solicitação;;;;;;;;;;;;;;;;;;;;;;;Rateio Categoria;;;x;Itens de Sellout;;;;;;;;;;;Itens de Sellin (Item);;;;;;;;;;;Itens de Sellin (Target);;;;;;Itens de Sellin (Target - Aceleradores);;;;;;Itens de Spiff (Item);;;;Itens de Spiff (Target);;;;;;Itens de VPC (Eventos);;;;;;Itens de VPC (Outros);;;;
Solicitação;Data da Solicitação;Solicitante;Cliente;Executivo de Contas;Nome da Ação;Tipo da Ação;Início da Ação;Término da Ação;Tipo Quantidade;Tipo Sellin;Tipo Spiff;Tipo VPC;Descrição Detalhada da Ação;Status Validação Marketing;Data Validação Marketing;Usuário Validação Marketing;Status Gerência;Data Aprovação Gerência;Aprovador Gerência;Status Diretoria;Data Aprovação Diretoria;Aprovador Diretoria;Rateio P&S;Rateio S&S;Rateio L&M;Rateio P&H;Código do Item;SRP Inicial ;Net R$ Inicial;GP Inicial ;SRP Sugerido ;Net R$ Sugerido;GP Sugerido;Rebate Unit;Qtde;Rebate Total;Dolar ;Código do Item;SRP Inicial;Net R$ Inicial;GP Inicial;SRP Sugerido;Net R$ Sugerido;GP Sugerido;Rebate Unit;Qtde;Rebate Total;Dolar;Target Principal;Target R$;Target Qtde;Target %;Valor / Target;Valor Total;Descrição;Target R$;Target Qtde;Target %;Valor / Target;Valor Total;Código do Item;Spiff Unitário;Qtde;Valor Total;Foco;Target R$;Target %;Qtde;Valor Unitário;Valor Total;Nome do Evento;Finalidade;Data Início;Data Término;% Reembolso;Valor Total;Tipo;Finalidade;Quantidade;% Reembolso;Valor Total
